id,Predicted
1,1
2,1
3,2
4,1
5,1
6,2
7,1
8,1
9,1
10,1
11,2
12,1
13,2
14,2
15,1
16,2
17,2
18,2
19,2
20,1
21,1
22,1
23,1
24,2
25,1
26,2
27,1
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,1
37,2
38,1
39,1
40,2
41,2
42,1
43,1
44,1
45,1
46,2
47,1
48,1
49,1
50,1
51,2
52,2
53,2
54,1
55,2
56,2
57,1
58,1
59,1
60,2
61,2
62,2
63,2
64,1
65,2
66,2
67,1
68,1
69,1
70,1
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,1
79,2
80,1
81,2
82,1
83,2
84,1
85,2
86,2
87,1
88,1
89,2
90,2
91,2
92,2
93,2
94,2
95,1
96,2
97,1
98,1
99,1
100,2
101,1
102,1
103,1
104,2
105,2
106,1
107,1
108,1
109,1
110,1
111,1
112,2
113,2
114,2
115,1
116,1
117,1
118,2
119,2
120,2
121,1
122,2
123,2
124,2
125,1
126,1
127,1
128,1
129,2
130,2
131,2
132,2
133,1
134,1
135,1
136,2
137,1
138,2
139,2
140,2
141,1
142,2
143,2
144,1
145,2
146,1
147,2
148,1
149,2
150,1
151,1
152,1
153,2
154,2
155,1
156,2
157,2
158,2
159,1
160,2
161,2
162,2
163,2
164,2
165,2
166,1
167,1
168,1
169,1
170,1
171,2
172,2
173,1
174,1
175,1
176,1
177,2
178,2
179,2
180,1
181,2
182,1
183,1
184,2
185,1
186,1
187,2
188,2
189,2
190,1
191,1
192,1
193,1
194,1
195,2
196,1
197,1
198,2
199,2
200,2
201,1
202,1
203,1
204,2
205,2
206,2
207,2
208,1
209,1
210,1
211,2
212,2
213,2
214,1
215,2
216,2
217,2
218,1
219,1
220,1
221,1
222,1
223,2
224,1
225,1
226,2
227,2
228,2
229,2
230,2
231,2
232,1
233,2
234,1
235,2
236,1
237,1
238,2
239,1
240,1
241,1
242,1
243,2
244,2
245,2
246,2
247,1
248,2
249,2
250,1
251,2
252,1
253,1
254,2
255,1
256,2
257,2
258,2
259,2
260,1
261,1
262,2
263,1
264,2
265,2
266,1
267,2
268,1
269,2
270,1
271,2
272,1
273,2
274,2
275,2
276,2
277,2
278,1
279,1
280,1
281,2
282,2
283,1
284,2
285,2
286,1
287,1
288,2
289,1
290,1
291,1
292,2
293,2
294,1
295,1
296,2
297,2
298,2
299,1
300,2
301,1
302,2
303,2
304,1
305,1
306,1
307,1
308,1
309,1
310,2
311,1
312,1
313,1
314,1
315,1
316,1
317,2
318,1
319,2
320,1
321,1
322,1
323,2
324,1
325,1
326,1
327,2
328,1
329,1
330,2
331,1
332,1
333,2
334,1
335,1
336,2
337,2
338,2
339,2
340,1
341,2
342,2
343,2
344,1
345,1
346,1
347,1
348,1
349,2
350,2
351,1
352,2
353,1
354,1
355,2
356,2
357,2
358,1
359,1
360,2
361,1
362,2
363,2
364,1
365,2
366,1
367,2
368,2
369,1
370,1
371,2
372,1
373,1
374,1
375,2
376,1
377,1
378,2
379,1
380,1
381,1
382,1
383,2
384,2
385,1
386,2
387,2
388,1
389,1
390,2
391,1
392,1
393,2
394,1
395,2
396,2
397,2
398,2
399,1
400,2
401,1
402,1
403,2
404,1
405,2
406,2
407,2
408,2
409,2
410,2
411,1
412,1
413,2
414,1
415,1
416,1
417,2
418,2
419,2
420,1
421,1
422,2
423,2
424,1
425,2
426,2
427,2
428,1
429,1
430,1
431,2
432,1
433,2
434,2
435,2
436,1
437,2
438,2
439,1
440,2
441,2
442,2
443,2
444,2
445,2
446,1
447,2
448,2
449,1
450,1
451,2
452,1
453,2
454,1
455,1
456,1
457,2
458,2
459,2
460,2
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,2
470,1
471,2
472,2
473,1
474,1
475,2
476,2
477,2
478,1
479,1
480,2
481,2
482,1
483,2
484,1
485,1
486,1
487,2
488,2
489,1
490,2
491,1
492,1
493,2
494,1
495,1
496,2
497,1
498,2
499,1
500,2
