f0,f1,f2,class
0.633209282,0.61761157,0.163622484,1
0.812223752,0.241354733,0.06901366,1
0.638818774,0.938740068,0.834770148,2
0.600863958,0.603507246,0.616035731,2
0.075439094,0.852836521,0.337802506,1
0.604462337,0.235059174,0.93287469,2
0.899630705,0.066266066,0.323766324,1
0.055586212,0.229386508,0.260155333,1
0.130969655,0.358047659,0.33624747,1
0.171679788,0.149861496,0.200009965,1
0.436479026,0.203520884,0.53476498,1
0.663198939,0.874072322,0.906612417,2
0.220415812,0.353021863,0.680759977,1
0.918791453,0.292936477,0.851510753,2
0.709995878,0.837344058,0.006116069,2
0.679509069,0.313286838,0.262778541,1
0.450505556,0.171609834,0.674545515,1
0.948576655,0.974177088,0.193551181,2
0.025259091,0.626970605,0.278383037,1
0.506378412,0.734218048,0.190681098,1
0.548401233,0.346686644,0.227206421,1
0.999095539,0.643304114,0.456598315,2
0.181014998,0.297410984,0.679314571,1
0.00907156,0.087479502,0.463026105,1
0.266102546,0.471791312,0.236658034,1
0.080400276,0.268689422,0.494835164,1
0.154404893,0.891860871,0.770727518,2
0.980519581,0.661849196,0.382750471,2
0.656741989,0.230972112,0.267213672,1
0.087406936,0.099418542,0.758893695,1
0.119418162,0.800572296,0.526858787,1
0.321357867,0.507410039,0.961989079,2
0.942716898,0.462925406,0.191233523,2
0.82449768,0.378201117,0.800850699,2
0.47790617,0.237857673,0.566110164,1
0.312438689,0.908490215,0.041692521,1
0.303207005,0.871741054,0.081890287,1
0.236352907,0.35815373,0.669129048,1
0.457156084,0.617549926,0.083449364,1
0.231852722,0.216647176,0.236799052,1
0.431615916,0.997362227,0.61703522,2
0.025565872,0.501252634,0.050671424,1
0.801077274,0.161743044,0.448848809,1
0.319922406,0.268800697,0.927185169,2
0.417801145,0.735129958,0.608819895,2
0.185637793,0.956566755,0.216370953,1
0.335257449,0.86441307,0.845854515,2
0.377306324,0.182749714,0.754155557,1
0.747145213,0.115687466,0.614515866,1
0.401560778,0.089969568,0.008012946,0
0.467668474,0.092970863,0.906855181,1
0.025317535,0.132554039,0.663401584,1
0.34627626,0.129873122,0.879709404,1
0.447554824,0.019749195,0.305015627,1
0.280386447,0.552455894,0.176995276,1
0.557809819,0.978590403,0.769930713,2
0.148601089,0.498203358,0.070438642,1
0.950720767,0.898119881,0.851615852,3
0.654126126,0.948035788,0.096062808,2
0.90323663,0.480618337,0.226505186,2
0.240768005,0.577635408,0.415586393,1
0.83842467,0.924427591,0.183973772,2
0.214419607,0.689211302,0.458810422,1
0.810838481,0.735823885,0.277434582,2
0.359353947,0.779055265,0.313800381,1
0.997352624,0.770846017,0.872183673,3
0.250824868,0.339009545,0.922597544,2
0.584492257,0.181715963,0.310118807,1
0.020688444,0.003168106,0.387992357,0
0.372148688,0.359938163,0.344867231,1
0.124614899,0.605063614,0.080071349,1
0.640102587,0.707033228,0.204538914,2
0.815807132,0.658252246,0.441691402,2
0.701764553,0.071759727,0.531877221,1
0.576959086,0.766557715,0.940301477,2
0.29313718,0.49328773,0.16351714,1
